"Date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","uvIndex","moon_illumination","moonrise","moonset","sunrise","sunset","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","maxtempC","Rain"
"1/26/2009","33","16","0","11.2","6","4.125","0","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.708333333","26.08333333","26.83333333","26.83333333","7.708333333","0","31.25","0","1012.166667","23.41666667","10","133","4.708333333","33","0"
"1/27/2009","33","17","0","11.2","6","4.125","5","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.416666667","26","26.41666667","26.58333333","6.583333333","0.5","32.58333333","0","1012.458333","23.16666667","10","156.375","4.25","33","0"
"1/28/2009","34","16","0","11.2","6","4.125","12","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.583333333","25.70833333","26.08333333","26.33333333","7.333333333","1.666666667","31.20833333","0","1011.958333","23.54166667","10","182.5833333","4.708333333","34","0"
"1/29/2009","34","16","0","11.2","6","4.166666667","20","12:00 AM","12:00 AM","12:00 AM","12:00 AM","4.333333333","24.83333333","24.91666667","25.625","7.166666667","5.166666667","28.125","0","1012.333333","23.875","10","123.375","4.5","34","0"
"1/30/2009","35","18","0","11.2","7","4.25","27","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.125","25.75","25.875","26.41666667","7.375","6.916666667","29.08333333","0","1012","25.04166667","10","148.0833333","4.5","35","0"
"1/31/2009","36","18","0","11.2","7","4.375","31","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.708333333","27.5","27.83333333","28.08333333","7.291666667","3.291666667","30","0","1011.791667","25.75","10","185.75","4.625","36","0"
"2/1/2009","34","17","0","11.2","7","4.291666667","43","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.5","27.375","27.75","28.16666667","8.291666667","0.916666667","25.20833333","0","1012.916667","25.16666667","10","201.5","5.625","34","0"
"2/2/2009","34","17","0","11.2","6","4.25","50","12:00 AM","12:00 AM","12:00 AM","12:00 AM","2.791666667","27.08333333","27.375","27.83333333","8.458333333","0","21.79166667","0","1013.791667","24.5","10","218.3333333","5.666666667","34","0"
"2/3/2009","33","17","0","11.2","6","4.166666667","58","12:00 AM","12:00 AM","12:00 AM","12:00 AM","4.208333333","26.29166667","26.45833333","27.04166667","8.666666667","0","25.125","0","1013.625","23.83333333","10","196.5416667","5.916666667","33","0"
"2/4/2009","33","14","0","11.2","6","4.166666667","66","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.083333333","24.875","25.08333333","25.70833333","8","0.625","29.875","0","1013.75","22.95833333","10","227.0833333","5.708333333","33","0"
"2/5/2009","32","13","0","11.2","6","4.125","73","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.625","25.20833333","25.33333333","25.875","7.333333333","0","35.875","0","1014","22.66666667","10","290.5833333","5.291666667","32","0"
"2/6/2009","34","16","0","11.2","6","4.125","81","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.375","26.70833333","27","27.20833333","7.375","0","30.70833333","0","1013.916667","23.75","10","129.9166667","4.458333333","34","0"
"2/7/2009","34","18","0","11.3","6","4.166666667","88","12:00 AM","12:00 AM","12:00 AM","12:00 AM","4.583333333","26.08333333","26.625","26.79166667","7.875","1.416666667","25.5","0","1012.958333","24.375","10","113.4583333","5.083333333","34","0"
"2/8/2009","35","18","0","11.3","7","4.25","96","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.166666667","26.75","26.83333333","27.33333333","7.875","3.125","27.58333333","0","1013.916667","25","10","64.625","4.708333333","35","0"
"2/9/2009","35","18","0","11.3","7","4.291666667","100","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.416666667","26.70833333","26.79166667","27.41666667","8.333333333","4.416666667","25.83333333","0","1013.958333","25.45833333","10","180.375","5.166666667","35","0"
"2/10/2009","31","19","0","11.3","6","4.041666667","89","12:00 AM","12:00 AM","12:00 AM","12:00 AM","4.708333333","24.25","24.33333333","24.95833333","13.41666667","4.5","28.45833333","0","1013.291667","23.58333333","10","283.7083333","8.958333333","31","0"
"2/11/2009","32","14","0","11.3","6","4.083333333","82","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.041666667","24.45833333","24.70833333","25.16666667","6.958333333","0","38.04166667","0","1013","21.875","10","197.7083333","5.333333333","32","0"
"2/12/2009","32","13","0","11.3","6","4.083333333","74","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.291666667","23.91666667","24.16666667","24.625","8.458333333","0","33.5","0","1012.583333","21.58333333","10","190.4583333","6.208333333","32","0"
"2/13/2009","32","13","0","11.3","6","4.041666667","67","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.958333333","23.875","24.04166667","24.58333333","8.083333333","0.625","40.83333333","0","1011.791667","21.625","10","248.6666667","5.791666667","32","0"
"2/14/2009","33","14","0","11.3","6","4.125","59","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.75","24.75","25.20833333","25.33333333","8.041666667","2.458333333","43.70833333","0","1011.833333","23.125","10","272.9166667","5.375","33","0"
"2/15/2009","35","16","0","11.3","6","4.208333333","51","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.375","26.91666667","27.375","27.5","6.916666667","1.541666667","33.875","0","1011.375","24.58333333","10","221.5833333","4.541666667","35","0"
"2/16/2009","34","18","0","11.3","7","4.25","44","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.166666667","25.95833333","26.45833333","26.66666667","8.375","4.583333333","29.25","0","1011.625","25.16666667","10","119.9166667","5.791666667","34","0"
"2/17/2009","32","19","0","11.4","7","4.208333333","36","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.708333333","25.875","26.16666667","26.125","9.083333333","17.58333333","36.66666667","0","1011.583333","25.20833333","10","192.9166667","5.916666667","32","0"
"2/18/2009","35","18","0","11.4","7","4.333333333","29","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.625","26.70833333","26.95833333","27.33333333","6.833333333","8.583333333","32.95833333","0","1011.5","26.16666667","10","157.25","4.208333333","35","0"
"2/19/2009","35","21","0","11.4","7","4.333333333","21","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.25","27.29166667","27.75","27.95833333","7.541666667","5.333333333","26.33333333","0","1010.166667","26.375","10","87","4.625","35","0"
"2/20/2009","35","20","0","11.4","7","4.25","14","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.083333333","26.70833333","27.20833333","27.5","9.583333333","4.541666667","27.125","0","1011.875","26.16666667","10","109.2916667","6.583333333","35","0"
"2/21/2009","35","20","0","11.6","7","4.291666667","6","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.958333333","27.16666667","27.625","27.70833333","8.75","4.5","28.5","0","1012.083333","26.08333333","10","158","5.583333333","35","0"
"2/22/2009","37","18","0","11.6","7","4.541666667","0","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.041666667","28.91666667","29.125","29.41666667","7.666666667","2.75","29.41666667","0","1009.666667","27.125","10","176.1666667","5.25","37","0"
"2/23/2009","37","19","0","11.6","7","4.583333333","0","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.375","29.41666667","29.58333333","30.04166667","6.958333333","1.916666667","26.58333333","0","1010.25","27.33333333","10","272.375","4.5","37","0"
"2/24/2009","35","20","0","11.6","7","4.333333333","0","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.083333333","27.54166667","27.79166667","28.45833333","11.25","0.25","24.45833333","0","1011.291667","25.95833333","10","305.4166667","8.291666667","35","0"
"2/25/2009","37","16","0","11.6","7","4.5","1","12:00 AM","12:00 AM","12:00 AM","12:00 AM","8.791666667","28.66666667","29.08333333","29","7.791666667","0","32.45833333","0","1010.583333","25.79166667","10","183.5","5.583333333","37","0"
"2/26/2009","38","18","0","11.6","7","4.625","9","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.583333333","30.375","30.70833333","30.75","6.666666667","0","26.375","0","1010.125","27.04166667","10","110.0833333","4.208333333","38","0"
"2/27/2009","38","21","0","11.6","7","4.625","16","12:00 AM","12:00 AM","12:00 AM","12:00 AM","3.75","30.79166667","30.70833333","31.58333333","8.875","0","18.66666667","0","1011","28.45833333","10","137.5833333","5.916666667","38","0"
"2/28/2009","39","20","0","11.6","7","4.625","24","12:00 AM","12:00 AM","12:00 AM","12:00 AM","3.5","30.91666667","30.66666667","31.29166667","8.833333333","0","18.625","0","1010.916667","28.20833333","10","123.0833333","5.583333333","39","0"
"3/1/2009","38","20","0","11.6","7","4.583333333","30","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.75","31.08333333","30.95833333","31.375","7","0","22.125","0","1010.666667","27.83333333","10","81.5","4.375","38","0"
"3/2/2009","38","20","0","11.6","7","4.583333333","37","12:00 AM","12:00 AM","12:00 AM","12:00 AM","3.25","30.5","30.375","31.20833333","8.25","0","18.58333333","0","1010.75","28.04166667","10","124.0416667","5.166666667","38","0"
"3/3/2009","39","21","0","11.6","7","4.708333333","45","12:00 AM","12:00 AM","12:00 AM","12:00 AM","2.958333333","31.79166667","31.70833333","32.45833333","6.666666667","0","17.54166667","0","1010.125","28.83333333","10","161","4.041666667","39","0"
"3/4/2009","39","20","0","11.6","7","4.625","52","12:00 AM","12:00 AM","12:00 AM","12:00 AM","3.958333333","30.83333333","30.70833333","31.41666667","8.625","0","20.20833333","0","1010.25","28.125","10","205.625","6","39","0"
"3/5/2009","38","19","0","11.6","7","4.583333333","59","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.916666667","30.08333333","30.16666667","30.58333333","7.833333333","0.375","26.58333333","0","1010.583333","27.66666667","10","230.625","5.958333333","38","0"
"3/6/2009","37","19","0","11.6","7","4.583333333","67","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.291666667","29.58333333","29.58333333","30.25","8","1.291666667","24.91666667","0","1011.083333","27.5","10","205.9583333","6.083333333","37","0"
"3/7/2009","38","19","0","11.6","7","4.583333333","74","12:00 AM","12:00 AM","12:00 AM","12:00 AM","3.625","30.20833333","30.33333333","31.04166667","7.25","0","19.91666667","0","1010.625","27.70833333","10","199","5.208333333","38","0"
"3/8/2009","37","19","0","11.6","7","4.583333333","81","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5.208333333","29","29","29.58333333","9","1.875","24.70833333","0","1009.291667","27.125","10","187.2916667","6.583333333","37","0"
"3/9/2009","36","20","0","11.6","7","4.583333333","88","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.166666667","28.20833333","28.66666667","28.5","9.083333333","6.5","33.45833333","0","1010.5","27.25","10","198.375","6.333333333","36","0"
"3/10/2009","37","22","0","11.6","7","4.541666667","96","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.791666667","29.25","29.25","30.16666667","9.166666667","3.583333333","24.58333333","0","1010.833333","28.54166667","10","145.4583333","7","37","0"
"3/11/2009","36","23","0","11.6","7","4.5","100","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.708333333","29.45833333","29.45833333","30.29166667","6.916666667","5.916666667","29.33333333","0","1011.875","28.79166667","10","179.875","4.958333333","36","0"
"3/12/2009","35","22","0","11.6","7","4.333333333","90","12:00 AM","12:00 AM","12:00 AM","12:00 AM","6.916666667","28.04166667","28.04166667","29.16666667","6.375","6.375","24.83333333","0","1011.041667","27.79166667","10","186.7916667","4.416666667","35","0"
"3/13/2009","34","22","0","11.6","7","3.75","83","12:00 AM","12:00 AM","12:00 AM","12:00 AM","9.333333333","26.04166667","26.25","26.25","8.208333333","20.95833333","37.58333333","0.1375","1013.166667","25.25","9.166666667","87.29166667","5.791666667","34","1"
"3/14/2009","32","20","0","11.6","5","3.791666667","75","12:00 AM","0","12:00 AM","12:00 AM","15.66666667","25.625","26.16666667","25.04166667","9.916666667","27.33333333","58.29166667","0.154166667","1014.083333","24.54166667","9.708333333","116.5","7.333333333","32","1"
"3/15/2009","34","21","0","11.6","7","4.208333333","68","12:00 AM","0","12:00 AM","12:00 AM","14.70833333","27.41666667","27.91666667","27.375","7.708333333","9.125","51.08333333","0","1011.958333","26.29166667","10","189.75","5.416666667","34","0"
"3/16/2009","35","20","0","11.6","7","4.333333333","61","12:00 AM","0","12:00 AM","12:00 AM","11.25","28.41666667","28.70833333","29.16666667","6.666666667","3.375","38.41666667","0","1010.333333","27.08333333","10","207.6666667","4.916666667","35","0"
"3/17/2009","36","21","0","11.6","7","4.458333333","53","12:00 AM","0","12:00 AM","12:00 AM","6.083333333","29.29166667","29.25","30.25","7.833333333","2.416666667","23.29166667","0","1010.125","27.75","10","186.2083333","5.291666667","36","0"
"3/18/2009","36","22","0","11.6","7","4.5","46","12:00 AM","0","12:00 AM","12:00 AM","6.75","29.29166667","29.29166667","30.08333333","8.166666667","1.916666667","24.54166667","0","1010.708333","27.75","10","210.875","6.5","36","0"
"3/19/2009","36","20","0","11.6","7","4.541666667","39","12:00 AM","0","12:00 AM","12:00 AM","9.666666667","29.16666667","29.25","29.66666667","8.541666667","3.375","31.70833333","0","1010.541667","27.5","10","276.0416667","6.583333333","36","0"
"3/20/2009","35","20","0","11.6","7","4.333333333","32","12:00 AM","0","12:00 AM","12:00 AM","10.83333333","27.625","28.29166667","28.20833333","10.5","2.083333333","38.375","0","1010.458333","26.54166667","10","302.7916667","8.458333333","35","0"
"3/21/2009","35","17","0","11.6","7","4.291666667","24","12:00 AM","0","12:00 AM","12:00 AM","10.875","27.625","28.45833333","28.33333333","8.458333333","0","41.125","0","1010.75","25.41666667","10","231.625","6.833333333","35","0"
"3/22/2009","37","17","0","11.6","7","4.5","17","12:00 AM","0","12:00 AM","12:00 AM","9.875","29.91666667","30.33333333","30.375","5.458333333","0.958333333","33.54166667","0","1009.5","27","10","132.625","4.291666667","37","0"
"3/23/2009","36","23","0","11.6","7","4.5","10","12:00 AM","0","12:00 AM","12:00 AM","8.708333333","29.66666667","29.66666667","30.41666667","6.291666667","5.25","28.25","0","1010.166667","28.41666667","10","144.0416667","4.541666667","36","0"
"3/24/2009","37","21","0","11.6","7","4.5","3","12:00 AM","0","12:00 AM","12:00 AM","11.70833333","30.45833333","30.5","30.5","6.458333333","13.75","35.70833333","0.008333333","1011.75","28.70833333","9.875","225.6666667","5.166666667","37","1"
"3/25/2009","37","23","0","11.6","7","4.625","0","12:00 AM","0","12:00 AM","12:00 AM","10.45833333","30.5","30.5","31.08333333","6.875","3.541666667","31.29166667","0","1010.916667","29.20833333","10","231.5416667","5.583333333","37","0"
"3/26/2009","38","22","0","11.6","7","4.625","0","12:00 AM","0","12:00 AM","12:00 AM","9.875","30.20833333","30.20833333","30.54166667","10.04166667","2.75","30.125","0","1010.208333","28.66666667","10","306.8333333","7.458333333","38","0"
"3/27/2009","37","19","0","11.6","7","4.583333333","5","12:00 AM","0","12:00 AM","12:00 AM","10.25","29.41666667","29.91666667","29.625","7.833333333","2.791666667","35.29166667","0","1010.583333","27.5","10","302.5416667","5.958333333","37","0"
"3/28/2009","38","20","0","11.6","7","4.625","12","12:00 AM","0","12:00 AM","12:00 AM","11.45833333","29.91666667","30.33333333","30.16666667","9.208333333","5.708333333","35.95833333","0","1010.333333","28.75","10","269.5","7.166666667","38","0"
"3/29/2009","38","22","0","11.6","7","4.708333333","19","12:00 AM","0","12:00 AM","12:00 AM","12.33333333","31.16666667","31.25","31.25","6.875","7.458333333","34.20833333","0.0125","1009.125","29.625","10","213.3333333","5","38","1"
"3/30/2009","38","21","0","11.6","7","4.75","26","12:00 AM","0","12:00 AM","12:00 AM","12.5","31.875","32","32.08333333","5.708333333","2.958333333","33.875","0","1008.75","29.83333333","10","226.25","4.5","38","0"
"3/31/2009","37","22","0","11.6","8","4.75","30","12:00 AM","0","12:00 AM","12:00 AM","11.83333333","32.16666667","32.16666667","32.33333333","7.333333333","2.375","33.25","0","1007.125","30.08333333","10","233.8333333","5.916666667","37","0"
"4/1/2009","39","21","0","11.6","8","4.833333333","42","12:00 AM","0","12:00 AM","12:00 AM","9.875","32.04166667","32.125","32.41666667","8.041666667","5.333333333","29.95833333","0","1007.833333","30.75","10","143.5833333","6.291666667","39","0"
"4/2/2009","39","23","0","11.6","8","4.75","50","12:00 AM","0","12:00 AM","12:00 AM","14.25","33","33","32.70833333","7.458333333","3.291666667","38","0.016666667","1008.458333","30.75","10","213.4166667","6.25","39","1"
"4/3/2009","40","25","0","11.6","8","4.791666667","58","12:00 AM","0","12:00 AM","12:00 AM","13.58333333","34.08333333","34.08333333","33.5","6.125","2.625","34.83333333","0","1008.75","31.25","10","198.9166667","5.083333333","40","0"
"4/4/2009","38","25","0","11.6","8","4.666666667","65","12:00 AM","0","12:00 AM","12:00 AM","15.875","32.25","32.25","31.45833333","7.333333333","4.708333333","44.83333333","0","1009.333333","30.08333333","10","219.75","6.166666667","38","0"
"4/5/2009","40","24","0","11.6","8","4.75","73","12:00 AM","0","12:00 AM","12:00 AM","15.54166667","32.33333333","32.33333333","31.58333333","5.875","17.70833333","44.91666667","0","1009.541667","30.54166667","10","250.125","4.625","40","0"
"4/6/2009","37","24","0","11.6","8","4.75","80","12:00 AM","0","12:00 AM","12:00 AM","10.41666667","31.04166667","31.04166667","31.625","10.70833333","5.166666667","30.91666667","0.020833333","1009.041667","30.125","10","160","8.208333333","37","1"
"4/7/2009","36","23","0","11.6","7","4.666666667","88","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.33333333","30.79166667","30.79166667","31.79166667","9.291666667","3.916666667","28.16666667","0","1007.333333","29.91666667","10","175.125","7.416666667","36","0"
"4/8/2009","35","22","0","11.6","7","4.416666667","95","12:00 AM","12:00 AM","12:00 AM","12:00 AM","11.16666667","28.70833333","28.79166667","29.04166667","9.833333333","2.791666667","36.875","0","1008.375","27.41666667","10","267.2083333","8.291666667","35","0"
"4/9/2009","39","18","0","11.6","7","4.583333333","100","12:00 AM","12:00 AM","12:00 AM","12:00 AM","12.25","31","31.41666667","30.95833333","6.333333333","0","39.16666667","0","1008.875","27.66666667","10","232.9166667","5.125","39","0"
"4/10/2009","39","21","0","11.6","7","4.75","90","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.875","32.04166667","32.08333333","32.58333333","7.75","0.333333333","24.91666667","0","1008.333333","29.54166667","10","133.4166667","5.666666667","39","0"
"4/11/2009","39","22","0","11.6","8","4.75","82","12:00 AM","12:00 AM","12:00 AM","12:00 AM","5","32.08333333","32.08333333","32.875","9.416666667","0.458333333","19.75","0","1007.916667","30.08333333","10","152.25","6.625","39","0"
"4/12/2009","39","22","0","11.6","8","4.708333333","75","12:00 AM","12:00 AM","12:00 AM","12:00 AM","7.375","31.33333333","31.33333333","32.375","10","2.458333333","23.04166667","0","1007.25","30.45833333","10","170.625","8.208333333","39","0"
"4/13/2009","41","25","0","11.6","8","4.791666667","67","12:00 AM","12:00 AM","12:00 AM","12:00 AM","10.875","34.08333333","34.08333333","33.83333333","6.25","0.666666667","28.70833333","0","1006","30.79166667","10","242.7083333","5.416666667","41","0"
"4/14/2009","40","21","0","11.6","7","4.75","59","12:00 AM","12:00 AM","12:00 AM","12:00 AM","12.125","32.70833333","32.91666667","32.375","9.333333333","0","34.70833333","0","1006.541667","29.70833333","10","265.9583333","7.708333333","40","0"
"4/15/2009","39","21","0","11.6","7","4.708333333","52","12:00 AM","12:00 AM","12:00 AM","12:00 AM","11.70833333","32.08333333","32.16666667","32.16666667","9.708333333","0","34.125","0","1007.458333","29.79166667","10","299.7916667","8.416666667","39","0"
"4/16/2009","38","21","0","11.6","7","4.625","44","12:00 AM","12:00 AM","12:00 AM","12:00 AM","14.16666667","31.79166667","31.875","31.625","7.5","2.166666667","37.75","0","1006.208333","29.375","10","278.3333333","6.583333333","38","0"
"4/17/2009","39","23","0","11.6","7","4.625","37","12:00 AM","12:00 AM","12:00 AM","12:00 AM","12.79166667","31.83333333","31.83333333","32.16666667","8.625","2.208333333","33.5","0","1005.958333","29.91666667","10","308","7.625","39","0"
"4/18/2009","42","24","0","11.6","8","5.041666667","29","12:00 AM","12:00 AM","12:00 AM","12:00 AM","11.41666667","34.83333333","34.83333333","34.45833333","7.625","1.333333333","28.45833333","0","1006.916667","31.95833333","10","282.0416667","6.041666667","42","0"
"4/19/2009","41","23","0","11.6","8","4.958333333","22","12:00 AM","12:00 AM","12:00 AM","12:00 AM","14.91666667","35.45833333","35.45833333","34.16666667","8.083333333","0.25","38.54166667","0","1008.583333","31.08333333","10","283.5416667","6.625","41","0"
"4/20/2009","38","22","0","11.6","7","4.625","14","12:00 AM","12:00 AM","12:00 AM","12:00 AM","18.54166667","31.625","31.625","30.25","12.16666667","2.5","56.33333333","0","1008.791667","28.83333333","10","261.75","10.5","38","0"
"4/21/2009","36","21","0","11.6","7","4.541666667","7","12:00 AM","12:00 AM","12:00 AM","12:00 AM","17.75","29.95833333","30.29166667","29.08333333","12.08333333","5.291666667","56.83333333","0","1007.916667","28.04166667","10","268.0833333","10.125","36","0"
